"Code","eco_code","eco_name","Fine_biome","Coarsest","Coarse","Med.coarse","Med.fine","Fine","Color","Notes"
"COF","PA1110","Scandinavian Montane Birch forest and grasslands","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","PA0503","Caledon conifer forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0503","Arizona Mountains forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0502","Alberta-British Columbia foothills forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","PA0507","Elburz Range forest steppe","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","PA0508","Helanshan montane conifer forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","PA1208","Iberian conifer forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","IM0301","Himalayan subtropical pine forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0524","Puget lowland forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","IM0502","Western Himalayan subalpine conifer forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0501","Alberta Mountain forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0611","Newfoundland Highland forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0612","Northern Canadian Shield taiga","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0302","Sierra Madre Occidental pine-oak forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","PA0506","East Afghan montane conifer forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0505","Blue Mountains forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0506","British Columbia mainland coastal forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","PA0509","Hengduan Mountains subalpine conifer forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","PA0510","Hokkaido montane conifer forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","PA0511","Honshu alpine conifer forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","PA0512","Khangai Mountains conifer forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
